id,date,session_id,category,subcategory,description,root_cause,repeat_count,related_ids,resolved,fix_commit
1,2025-01-26,,UI/UX,패딩,"주간/월간 캘린더 좌우 패딩 불일치","디자인 가이드 부재 상태에서 임의 수치 적용",3,"3,10",TRUE,
2,2025-02-07,,UI/UX,패딩,"홈 화면 위아래 패딩 부족, 네비게이션 크기 작음","기본 Material 값 사용, 디자인 가이드 미참조",1,,TRUE,
3,2025-02-08,,UI/UX,캘린더,"캘린더 패딩/월 정렬/n월 n주차 표시/chevron 위치/월간 확장 시 상단 고정돼 스크롤 안됨","캘린더 UI 복합 이슈 — 초기 설계 시 월간 뷰 스크롤 미고려",3,"1,10,27",TRUE,
4,2025-02-08,,UI/UX,디자인 불일치,"디자인 가이드 없이 Material Design으로 구현. 드래그 핸들 너무 진함. placeholder/cursor 높이 불일치. 노트 상세 dropdown 스타일 불일치","디자인 가이드 미수립 상태에서 Material 기본값 그대로 사용",2,"10,49",TRUE,
5,2025-02-08,,UI/UX,할일 카드,"할일 카드 패딩 불일치. 체크박스 미선택 상태에서도 카드 사라짐","체크 상태 변경 시 필터링 로직이 즉시 제거하는 버그",3,"23,25",TRUE,
6,2025-02-10,,UI/UX,타이포그래피,"타이포그래피 수정 필요. 전체적으로 부드러운 애니메이션 부족","기본 폰트/애니메이션 설정, 디자인 가이드 반영 전",1,,TRUE,
7,2025-02-11,,UI/UX,네비게이션 바,"네비게이션 바 아이콘 크기 제각각. 아이콘 선택 시 아이콘만이 아니라 영역으로 선택됨","아이콘별 개별 크기 지정, 터치 영역 미정규화",2,"14,40",TRUE,
8,2025-02-11,,UI/UX,구현 방식,"mockup 수정이 아니라 실제 코드를 수정해야 함. 애플 디자인 가이드 참조 필요","요청 의도 오해 — 코드 변경이 아닌 문서/목업만 수정",1,,TRUE,
9,2025-02-11,,UI/UX,애니메이션,"전환 애니메이션 너무 튀어. 좀 더 부드럽게","기본 Compose 전환 효과 사용, 커스텀 easing 미적용",1,,TRUE,
10,2025-02-12,,UI/UX,패딩,"캘린더 top 패딩 줄여야 함. 할일 카드 마감일 없어도 약간 확장됨. 드래그 핸들/placeholder 높이 (재지적)","이전 수정이 불완전 — 조건부 패딩 로직 누락",3,"1,3,4",TRUE,
11,2025-02-12,,UI/UX,설정 화면,"설정창 순서 개판. 덜 중요한 설정은 세부 페이지로 넘겨야 함. 자동추가/제안 모드 on/off 관계인데 각각 존재","설정 항목 IA(Information Architecture) 미설계",1,,TRUE,
12,2025-02-12,,UI/UX,하드코딩,"하드코딩된 색상/수치 확인 필요","Theme 토큰 대신 Color(0xFF...) 직접 사용",1,,TRUE,
13,2025-02-12,,UI/UX,타이틀,"타이틀 안보임","텍스트 색상이 배경과 동일하거나 visibility 누락",1,,TRUE,
14,2025-02-13,,UI/UX,네비게이션 바,"글씨 크기 줄여봐. 네비바 폭 너무 큼","네비바 높이/폰트 크기 과대 설정",2,"7,40",TRUE,
15,2025-02-14,,UI/UX,스플래시,"스플래시 화면에서 점(.)이 위로 가있어","로고 렌더링 시 baseline 정렬 미적용",2,16,TRUE,
16,2025-02-14,,UI/UX,스플래시,"스플래시 화면 두 개 나옴 (로고 기반 + 별도 스플래시)","Core Splash Screen API + 커스텀 스플래시 중복 등록",2,15,TRUE,
17,2025-02-14,,UI/UX,캡처 화면,"캡처 화면 좌우 스크롤 시 키보드 유지됨. submit/gallery row와 간격 너무 넓음. 홈 로고가 디자인한 것이 아니고 너무 작음","HorizontalPager 스크롤 시 focus 해제 미처리, 로고 에셋 미교체",1,,FALSE,
18,2025-01-26,,기능 버그,네비게이션,"네비게이션 바 search/history/setting 버튼 눌러도 아무 반응 없음","NavGraph 라우트 연결 누락",2,19,TRUE,
19,2025-01-26,,기능 버그,네비게이션,"네비게이션에서 실질적으로 메인 화면만 작동. 검색/히스토리 미구현","Phase 1에서 네비 UI만 배치하고 화면 구현 미완료",2,18,TRUE,
20,2025-01-27,,기능 버그,네비게이션,"네비게이션 이동 자유롭지 않음. search→메인 안넘어감. 이미지 첨부 기능 작동 안함","popBackStack 로직 오류 + 이미지 picker intent 미연결",1,,TRUE,
21,2025-02-07,,기능 버그,텍스트 입력,"홈 화면에서 텍스트 입력 안됨","TextField focus 요청 누락 또는 이벤트 소비 충돌",1,,TRUE,
22,2025-02-08,,기능 버그,노트 화면,"Notes 화면이 전혀 노트에 어울리지 않음","초기 구현이 캡처 목록 UI를 그대로 재사용",1,,TRUE,
23,2025-02-08,,기능 버그,할일/캘린더,"노트 화면: 휴지통 클릭 무반응. 할일 체크 시 아예 사라짐. 주간→월간 확장 스와이프 필요. 월간 좌우 스와이프로 월 이동 필요","복합 버그 — 삭제 콜백 미연결, 체크 필터 즉시 제거, 스와이프 제스처 미구현",3,"5,24,25",TRUE,
24,2025-02-08,,기능 버그,캘린더,"캘린더 월간 좌우 스와이프 작동 안함","HorizontalPager 미적용, 단순 Column으로 구현",2,"23,25",TRUE,
25,2025-02-08,,기능 버그,할일/캘린더,"미도래 일정 Dimmed됨. 할일 체크 시 내용 사라짐. 서버 연결 없이 보이는 건지 불명확","미래 일정에 과거 스타일 적용, 체크박스 로직 동일 버그 반복",3,"5,23,38",TRUE,
26,2025-02-09,,기능 버그,서버 연동,"서버 연동 안됨","API base URL 미설정 또는 인터셉터 체인 오류",1,,TRUE,
27,2025-02-10,,기능 버그,캘린더/분류,"AI 분류 현황에서 컴마 계속 노출. 캘린더 탭 달력 상단 고정 문제. 분류 속도 느림","문자열 join 로직 오류, LazyColumn stickyHeader 미사용, Worker 스케줄링 비효율",2,"3,10",TRUE,
28,2025-02-14,,기능 버그,스와이프/상세,"일정/할일 스와이프 삭제 UX 미흡. 스낵바 디자인 가이드 미준수. 할일 상세 정보 부족. 일정 버튼 클릭해도 무반응. 카드 순서 교환 안됨","SwipeToDismiss 커스터마이징 부족, 스낵바 FlitTheme 미적용, onClick 누락",1,,TRUE,
29,2025-02-10,,설정,글씨 크기,"글씨 크기 설정해도 실제로 안 바뀜. 환경설정 내에서도 안 바뀜","설정값 저장은 되나 Typography 동적 반영 로직 미구현",2,30,TRUE,
30,2025-02-12,,설정,글씨 크기,"설정에서 글씨 크기 제대로 반영 안됨 (재지적)","이전 수정이 일부 화면에만 적용, CompositionLocal 전파 불완전",2,29,TRUE,
31,2025-01-23,,빌드 에러,컴파일,"에러 발생중. 확인 후 조치요망","초기 프로젝트 세팅 단계 컴파일 오류",1,,TRUE,
32,2025-01-23,,빌드 에러,컴파일,"에러코드를 바탕으로 앱 수정 필요","의존성 충돌 또는 미싱 import",1,,TRUE,
33,2025-01-27,,빌드 에러,컴파일,"에러 확인하고 해결해","신규 화면 추가 시 발생한 컴파일 에러",1,,TRUE,
34,2025-01-29,,빌드 에러,컴파일,"에러 수정","리팩토링 후 타입 불일치",1,,TRUE,
35,2025-02-10,,빌드 에러,Unresolved reference,"Unresolved reference 'NOTE' 에러","enum 리네이밍 시 참조 업데이트 누락",1,,TRUE,
36,2025-02-11,,빌드 에러,SDK,"Android SDK 에러로 앱 실행 안됨 (갑자기 발생)","SDK 경로 변경 또는 Gradle 캐시 손상",1,,TRUE,
37,2025-02-12,,빌드 에러,인증 키,"GOOGLE_WEB_CLIENT_ID 에러 (로그인 시도 시)","BuildConfig 필드 미생성, local.properties 누락",1,,TRUE,
38,2025-02-12,,위젯,할일/입력,"위젯: 할일 체크 시 가로줄이 아니라 아예 사라짐. 캡처 위젯 키보드에 입력창 가림","Glance 위젯 체크 로직 오류, WindowInsets 미처리",2,"39,25",TRUE,
39,2025-02-12,,위젯,입력/패딩,"위젯: 입력창 키보드에 가림. 할일 위젯 패딩 부족, 글씨 너무 작음","Glance 레이아웃에서 ime padding 미지원, sp 단위 과소 설정",2,"38,25",TRUE,
40,2025-02-14,,위젯,네비게이션,"스크린샷에서 내비게이션 바 안보임","Roborazzi 캡처 영역이 네비바 제외, 또는 네비바 렌더링 누락",2,"7,14",TRUE,
41,2025-02-13,,리브랜딩,잔재,"리브랜딩 잔재 여전히 남아있음","전역 검색 기반이 아닌 수동 치환으로 누락 발생",4,"42,43,44",TRUE,
42,2025-02-13,,리브랜딩,파일명/경로,"kairos_prd 참조 영역, 디렉터리 경로, 히스토리 문서 파일명 변경 필요","문서/설정 파일 내 구 명칭 잔존",4,"41,43,44",TRUE,
43,2025-02-13,,리브랜딩,명칭,"Flit_mobile이 아니라 Flit이어야 함","리브랜딩 시 복합 명칭 변환 규칙 불명확",4,"41,42,44",TRUE,
44,2025-02-13,,리브랜딩,모듈 경로,"모듈 path 에러 (리브랜딩 후유증)","settings.gradle 또는 모듈 경로에 구 명칭 잔존",4,"41,42,43",TRUE,
45,2025-02-13,,환경/인프라,네트워크,"데이터 연결 상태인데 '오프라인 상태입니다' 경고. 캘린더 날짜 마커가 이동해도 표시됨","ConnectivityManager 판정 오류 또는 서버 health check 실패 오탐",1,,TRUE,
46,2025-02-14,,환경/인프라,Play Store,"Play Store 매니페스트 충돌. 패키지명 이미 존재","applicationId 변경 후 Play Console 등록 충돌",1,,TRUE,
47,2025-01-26,,환경/인프라,일반 에러,"버그 확인하고 고쳐봐 (일반 에러)","비특정 에러 — 로그 기반 디버깅",1,,TRUE,
48,2025-01-29,,디자인 가이드,점검,"미니멀 철학에 부합하게 구현되었는지 확인해봐","디자인 철학 문서가 코드 리뷰 체크리스트에 미포함",1,,TRUE,
49,2025-02-08,,디자인 가이드,생성,"캘린더 헤더 밋밋. 디자인 가이드 생성해서 반드시 참조해야 함","디자인 가이드 자체가 미수립 상태",1,"4",TRUE,
50,2025-02-12,,디자인 가이드,경고 방치,"그동안 왜 오류 있음에도 컴파일됐지? (경고 방치)","Kotlin 경고를 에러로 처리하지 않음, warningsAsErrors 미설정",2,51,TRUE,
51,2025-02-12,,디자인 가이드,점검,"에러/경고 부분 점검해봐","누적 경고 미정리",2,50,TRUE,
